1,11:34.0,START OF WORLD WAR 2
1,11:34.0,Invasion of Poland
1,11:34.0,Battle of Britain
1,11:34.0,Germany invades USSR
1,11:34.0,Japan Bombs Pearl Harbor
1,11:34.0,Bataan Death March
1,11:34.0,D-Day
1,11:34.0,Victory in Europe
1,11:34.0,Hiroshima and Nagasaki
1,11:34.0,END OF WORLD WAR 2
2,11:35.3,START OF WORLD WAR 2
2,11:35.0,Battle of New York
2,11:35.1,Battle of Britain
2,11:35.3,Germany invades USSR
2,11:35.6,Japan Bombs Pearl Harbor
2,11:35.8,Bataan Death March
2,11:36.0,D-Day
2,11:36.1,Victory in Europe
2,11:36.5,Hiroshima and Nagasaki
2,11:36.6,END OF WORLD WAR 2
3,51:30.0,START OF WORLD WAR 2
3,51:30.0,Germany invades USSR
3,51:30.0,Japan Bombs Pearl Harbor
3,51:30.0,Bataan Death March
3,51:30.0,Victory in Europe
3,51:30.0,Hiroshima and Nagasaki
3,51:30.0,END OF WORLD WAR 2
4,09:04.0,START OF WORLD WAR 2
4,09:04.0,Invasion of Poland
4,09:04.0,Battle of Britain
4,09:04.0,Germany invades USSR
4,09:04.0,Japan Bombs Pearl Harbor
4,09:04.0,Bataan Death March
4,09:04.0,D-Day
4,09:04.0,Victory in Europe
4,09:04.0,Hiroshima and Nagasaki
4,09:04.0,END OF WORLD WAR 2
5,29:40.0,START OF WORLD WAR 2
5,29:40.0,Battle of New York
5,29:40.0,An unknown event 1
5,29:40.0,An unknown event 2
5,29:40.0,Battle of Britain
5,29:40.0,Germany invades USSR
5,29:40.0,Japan Bombs Pearl Harbor
5,29:40.0,Bataan Death March
5,29:40.0,D-Day
5,29:40.0,Victory in Europe
5,29:40.0,An unknown event 3
5,29:40.0,Hiroshima and Nagasaki
5,29:40.0,END OF WORLD WAR 2
7,11:34.0,START OF WORLD WAR 2
7,11:34.0,Invasion of Poland
7,11:34.0,Battle of Britain
7,11:34.0,Germany invades USSR
7,11:34.0,Japan Bombs Pearl Harbor
7,11:34.0,Bataan Death March
7,11:34.0,D-Day
7,11:34.0,Victory in Europe
7,11:34.0,Hiroshima and Nagasaki
7,11:34.0,END OF WORLD WAR 2
